id,target,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin
214,0,4,1,2,1,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0.8,0.4,0.8306623863,6,1,-1,0,0,11,1,1,0,1,99,2,0.316227766,0.7132982697,0.3687817783,3.4641016151,0.9,0.7,0.1,4,3,8,1,10,2,9,4,0,3,10,1,1,1,0,1,0
215,0,5,3,5,1,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0.9,0.8,0.9354143467,7,1,-1,0,-1,1,1,1,3,1,31,3,0.3605551275,0.5225296068999999,0.3937003937,0.0,0.5,0.4,0.1,1,3,6,3,9,1,9,6,1,2,7,0,0,0,1,1,0
216,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0.9,0.4,0.8403868157,11,1,0,1,1,12,1,1,2,1,104,2,0.3741657387,0.7518572047,0.331662479,3.4641016151,0.7,0.0,0.7,1,3,7,0,10,3,6,3,2,5,10,0,0,0,0,1,0
217,1,1,1,5,1,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0.4,0.0,0.7516648189,10,1,-1,0,0,6,1,1,0,1,104,1,0.3160696126,0.5450187653,0.3456877203,2.0,0.1,0.1,0.8,4,1,8,4,11,2,10,9,1,1,6,0,1,0,0,0,0
218,0,5,1,7,1,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0.8,0.7,1.3160072188,10,1,-1,0,1,11,1,1,0,1,69,2,0.4242640687,1.0627939554,-1.0,3.4641016151,0.8,0.7,0.7,2,1,9,2,8,4,7,3,2,2,6,0,1,0,0,0,0
221,0,2,1,3,0,1,1,0,0,0,0,0,0,0,0,6,0,1,0,0.9,0.5,-1.0,11,1,-1,0,-1,1,1,1,3,1,31,3,0.3974921382999999,0.5004956221,0.3987480407,0.0,0.0,0.2,0.8,4,4,7,2,7,5,8,9,2,5,4,0,0,0,0,0,0
223,0,0,3,7,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.9,0.6,1.1567735301,7,1,-1,0,-1,1,1,1,2,1,40,2,0.3741657387,0.7724351051999999,0.3814446225,3.1622776602,0.2,0.8,0.2,3,2,10,5,10,1,10,6,1,3,8,0,1,0,1,0,1
224,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0.1,0.5055937104,10,1,-1,0,0,11,1,0,0,1,76,2,0.316227766,0.8481506376000001,0.3794733192,3.7416573868,0.0,0.0,0.6,2,2,7,3,9,0,9,9,4,6,5,0,1,1,0,0,0
225,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0.1,0.2,-1.0,6,1,-1,0,-1,14,1,1,2,1,104,1,0.3160696126,0.5013205701,0.3556683849,1.4142135624,0.5,0.3,0.3,3,3,6,4,11,1,8,6,2,2,9,0,1,0,0,1,0
227,0,7,1,10,0,0,0,1,0,0,0,0,0,0,0,12,0,0,1,0.9,1.6,1.675559608,11,1,1,0,0,0,1,1,2,1,46,3,0.4,0.7907784636,0.3003331483999999,3.3166247904,0.3,0.0,0.2,1,2,9,2,6,4,6,5,3,1,4,0,0,1,0,0,0
229,0,3,1,4,1,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0.6,0.4,0.6661456297,10,1,1,0,0,1,1,1,2,1,38,3,0.316227766,0.751829724,0.299165506,3.6055512755,0.2,0.3,0.9,3,0,9,7,8,3,11,6,0,3,8,0,1,0,0,1,0
235,0,3,1,6,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0.9,0.4,0.9182183836,11,0,0,9,1,8,-1,1,2,1,104,3,0.5196152423,1.6553319809,0.5057667446999999,3.0,0.2,0.0,0.8,2,0,9,0,9,1,6,5,1,3,6,0,1,0,0,0,0
239,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.9,0.4,0.7335700376000001,11,1,-1,0,-1,0,1,1,3,1,39,3,0.3160696126,0.6258382808,0.3744329045,2.4494897428,0.8,0.5,0.2,3,1,8,4,11,1,9,3,0,2,9,0,1,1,0,1,0
244,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0.6,0.1,0.7137051212000001,6,1,-1,0,-1,11,1,0,2,1,76,3,0.316227766,0.8009292123999999,0.3794733192,3.7416573868,0.9,0.2,0.6,4,2,10,0,12,2,10,4,2,3,6,0,0,0,0,0,1
248,0,5,1,2,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0.8,1.5,1.1986972095,11,1,-1,0,-1,0,1,1,2,1,88,3,0.4,0.7412575868000001,0.3974921382999999,2.8284271247,0.3,0.5,0.0,1,2,9,4,9,2,8,8,1,4,11,0,0,1,0,0,1
261,0,0,1,5,0,6,1,0,0,0,0,0,0,0,0,9,1,0,0,0.9,0.2,0.6403124237,11,1,-1,0,-1,14,0,1,1,1,42,2,0.4,0.7533670974,0.3937003937,3.3166247904,0.1,0.6,0.9,1,1,6,3,10,2,8,3,1,3,6,0,1,1,0,0,1
